id_ext_link,id_source,source,url,rating,normalized_rating,reviews_nr,normalized_reviews,last_refresh,id_outlet_info
9362307966777365,MYDD10220,Grab,MYDD10220,4.4,7,1638,10,2020-06-26,4666340803074162
5647313882938505,MYDD08952,Grab,MYDD08952,4.5,8,821,10,2020-06-26,6591205597322102
9481667944824814,1-CZDDCUTDTXMXA2,Grab,1-CZDDCUTDTXMXA2,4.5,8,205,7,2020-06-26,6880366101552073
137450970208854,1-CYUVMB3DN6B1DE,Grab,1-CYUVMB3DN6B1DE,4.2,4,1695,10,2020-06-26,8921400823065782
7411391008756980,1-CYMGEBBYKE4TDE,Grab,1-CYMGEBBYKE4TDE,4.7,9,687,9,2020-06-26,8087357835223650
1084899711551733,1-CYLKTYKGHETBNJ,Grab,1-CYLKTYKGHETBNJ,4.2,4,501,9,2020-06-26,4224029869997144
40562648837981,1-CY3UEJAHVNLDTT,Grab,1-CY3UEJAHVNLDTT,4.6,9,562,9,2020-06-26,8481421868629884
3158747075645089,1-CYLBWB4ACN2XEJ,Grab,1-CYLBWB4ACN2XEJ,4.3,5,1581,10,2020-06-26,7490389599338487
8764724148372948,1-CYUBGA4FCN5XUE,Grab,1-CYUBGA4FCN5XUE,4.2,4,1108,10,2020-06-26,8143194603565629
2970036282878422,1-CY4ZAEB1G7KWRA,Grab,1-CY4ZAEB1G7KWRA,4.6,9,356,8,2020-06-26,4358569682709338
1813579027957065,1-CZBXVX52VAAWLE,Grab,1-CZBXVX52VAAWLE,4.4,7,123,6,2020-06-26,1264499222447850
4731601981610275,MYDD10931,Grab,MYDD10931,4.1,3,889,10,2020-06-26,4815868977138382
9295468146493828,1-CZBHUEW3LRBUGN,Grab,1-CZBHUEW3LRBUGN,4.4,7,179,7,2020-06-26,5107660008248932
2603372689085296,MYDD11045,Grab,MYDD11045,4.4,7,173,7,2020-06-26,3547064326881604
2187651111162540,1-CZDXNYC1JUA3AX,Grab,1-CZDXNYC1JUA3AX,4.2,4,13,2,2020-06-26,4637713060967311
3683863169329995,1-CY3JG33ALVEGCA,Grab,1-CY3JG33ALVEGCA,4.5,8,206,7,2020-06-26,7609077374536253
8824034428819730,1-CYTCFETDTYBUGJ,Grab,1-CYTCFETDTYBUGJ,4.1,3,117,6,2020-06-26,1625961861506620
5916015078801370,1-CZDEGB2VVY21UA,Grab,1-CZDEGB2VVY21UA,4.3,5,74,5,2020-06-26,3941106545863225
4106785468703265,1-CYNBJ8LUSBLARX,Grab,1-CYNBJ8LUSBLARX,4.2,4,144,6,2020-06-26,7610123126574974
8365481738062550,1-CYWYBEL3CTUZUE,Grab,1-CYWYBEL3CTUZUE,4.5,8,61,5,2020-06-26,2666858018502630
9967824506881236,1-CY4CG3DAKEV3L2,Grab,1-CY4CG3DAKEV3L2,4.6,9,186,7,2020-06-26,894249806892489
490773144416674,1-CY3XNK22EYKYCT,Grab,1-CY3XNK22EYKYCT,4.4,7,99,6,2020-06-26,690679119891670
6067506235255702,MYDD12728,Grab,MYDD12728,4.0,3,62,5,2020-06-26,6069479583622086
1657694031137067,1-CY2AVTMUCNXZRJ,Grab,1-CY2AVTMUCNXZRJ,4.6,9,193,7,2020-06-26,546786142634150
3266554658603269,1-CYVVJGKZR8EHJA,Grab,1-CYVVJGKZR8EHJA,4.2,4,95,6,2020-06-26,3346686539838535
5320378895357709,1-CY6KVY2JAA5EEJ,Grab,1-CY6KVY2JAA5EEJ,4.7,9,146,6,2020-06-26,7953289185969193
551732967262452,1-CYWCSGJURELGCA,Grab,1-CYWCSGJURELGCA,4.5,8,125,6,2020-06-26,6409370063322528
338893037513301,1-CYLKTYLULBJVJX,Grab,1-CYLKTYLULBJVJX,3.9,2,919,10,2020-06-26,7370499830944488
196397625224526,MYDD11125,Grab,MYDD11125,4.1,3,409,8,2020-06-26,8951552083421595
6482755870616025,1-CZC3CFJWNVNCPA,Grab,1-CZC3CFJWNVNCPA,4.2,4,19,3,2020-06-26,9977366323235060
